# RaceRender Data: TrackAddict 4.3.7 on Android 7.1.2 [Sony E5823 / Qualcomm Technologies, Inc MSM8994] (Mode: 0)
# Vehicle: 2007 Mazda RX-8
# Vehicle App ID: 16B6AF66706A2B41
# End Point: 45.573479, -73.965910  @ -1.00 deg
# GPS: Android; Mode: Android
# OBD Mode: BT (OBDII); ID: "ELM327 v1.5"
# OBD Settings: AP1;AF1;RPR0
# User Settings: SL1;U1;AS1;LT0/1;EC0;VC0;VQ3;VS0;VSOIS0;VIF1
# Device Free Space: 6034 MB
"Time","UTC Time","Lap","Predicted Lap Time","Predicted vs Best Lap","GPS_Update","GPS_Delay","Latitude","Longitude","Altitude (m)","Altitude (ft)","Speed (Km/h)","Heading","Accuracy (m)","Accel X","Accel Y","Accel Z","Brake (calculated)","Barometric Pressure (kPa)","Pressure Altitude (m)","OBD_Update","Engine Speed (RPM) *OBD","Vehicle Speed (km/h) *OBD","Throttle Position (%) *OBD","Engine Coolant Temp (C) *OBD","Intake Air Temp (C) *OBD","Intake Manifold Pressure (kPa) *OBD"
0.000,1567465356.000,0,0,0,1,0.000,45.5713279,-73.9652028,13.0,43,17.5,174.3,4.6,-0.11,-0.04,0.01,0,100.90,35.3,1,3256.000,24.000,16.078,88.000,43.000,0.000
0.020,1567465356.020,0,0,0,0,0.000,45.5713279,-73.9652028,13.0,43,17.5,174.3,4.6,-0.11,-0.03,0.02,0,100.90,35.3,0,3256.000,24.000,16.078,88.000,43.000,0.000
0.026,1567465356.026,0,0,0,1,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,-0.11,-0.01,0.02,0,100.89,35.9,0,3256.000,24.000,16.078,88.000,43.000,0.000
0.075,1567465356.075,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,-0.06,0.01,0.03,0,100.90,35.5,0,3256.000,24.000,16.078,88.000,43.000,0.000
0.080,1567465356.080,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,-0.06,0.01,0.03,0,100.90,35.5,1,3220.500,24.000,15.686,88.000,43.000,0.000
0.121,1567465356.121,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,0.03,0.01,-0.00,0,100.90,35.5,0,3220.500,24.000,15.686,88.000,43.000,0.000
0.172,1567465356.172,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,0.04,0.07,-0.00,0,100.90,35.5,0,3220.500,24.000,15.686,88.000,43.000,0.000
0.217,1567465356.217,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,0.04,0.04,-0.01,0,100.90,35.5,1,3257.750,24.000,15.686,88.000,43.000,0.000
0.269,1567465356.269,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,0.02,0.04,-0.02,0,100.90,35.5,0,3257.750,24.000,15.686,88.000,43.000,0.000
0.321,1567465356.321,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,0.00,0.03,-0.02,0,100.90,35.5,0,3257.750,24.000,15.686,88.000,43.000,0.000
0.352,1567465356.352,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,-0.01,0.03,0.01,0,100.90,35.5,1,3241.250,24.000,15.686,88.000,43.000,0.000
0.410,1567465356.410,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,-0.01,0.03,0.01,0,100.90,35.5,0,3241.250,24.000,15.686,88.000,43.000,0.000
0.463,1567465356.463,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,-0.01,0.09,0.02,0,100.90,35.5,0,3241.250,24.000,15.686,88.000,43.000,0.000
0.515,1567465356.515,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,0.00,0.08,-0.01,0,100.90,35.5,0,3241.250,24.000,15.686,88.000,43.000,0.000
0.550,1567465356.550,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,0.02,0.08,0.00,0,100.90,35.5,1,3194.750,24.000,16.471,88.000,43.000,0.000
0.596,1567465356.596,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,0.02,0.08,0.00,0,100.90,35.5,0,3194.750,24.000,16.471,88.000,43.000,0.000
0.647,1567465356.647,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,-0.01,0.12,0.01,0,100.90,35.5,0,3194.750,24.000,16.471,88.000,43.000,0.000
0.662,1567465356.662,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,-0.03,0.12,0.02,0,100.90,35.5,1,3202.000,23.000,17.255,88.000,43.000,0.000
0.709,1567465356.709,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,-0.03,0.09,0.02,0,100.90,35.5,0,3202.000,23.000,17.255,88.000,43.000,0.000
0.761,1567465356.761,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,-0.03,0.09,0.03,0,100.90,35.5,0,3202.000,23.000,17.255,88.000,43.000,0.000
0.773,1567465356.773,0,0,0,0,0.000,45.5712562,-73.9651777,12.0,39,21.2,172.4,6.1,-0.03,0.11,0.03,0,100.90,35.5,1,3225.000,23.000,21.569,88.000,43.000,0.000
0.789,1567465356.789,0,0,0,1,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.06,0.15,0.03,0,100.90,35.5,0,3225.000,23.000,21.569,88.000,43.000,0.000
0.841,1567465356.841,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.03,0.15,0.03,0,100.90,35.5,0,3225.000,23.000,21.569,88.000,43.000,0.000
0.903,1567465356.903,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.06,0.11,-0.00,0,100.90,35.5,0,3225.000,23.000,21.569,88.000,43.000,0.000
0.914,1567465356.914,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.16,0.08,-0.00,0,100.90,35.5,1,3305.000,24.000,23.529,88.000,43.000,0.000
0.973,1567465356.973,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.25,0.08,0.01,0,100.90,35.5,0,3305.000,24.000,23.529,88.000,43.000,0.000
1.026,1567465357.026,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.30,0.06,0.01,0,100.90,35.5,0,3305.000,24.000,23.529,88.000,43.000,0.000
1.072,1567465357.072,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.30,0.06,0.03,0,100.90,35.5,1,3360.250,24.000,23.137,88.000,43.000,0.000
1.123,1567465357.123,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.25,0.09,0.03,0,100.91,34.9,0,3360.250,24.000,23.137,88.000,43.000,0.000
1.184,1567465357.184,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.21,0.09,0.03,0,100.91,34.9,0,3360.250,24.000,23.137,88.000,43.000,0.000
1.205,1567465357.205,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.18,0.06,0.03,0,100.91,34.9,1,3378.250,25.000,20.392,88.000,43.000,0.000
1.255,1567465357.255,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.18,0.06,0.01,0,100.91,34.9,0,3378.250,25.000,20.392,88.000,43.000,0.000
1.307,1567465357.307,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.18,0.21,0.04,0,100.91,34.9,0,3378.250,25.000,20.392,88.000,43.000,0.000
1.344,1567465357.344,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.14,0.21,0.01,0,100.91,34.9,1,3464.000,26.000,20.392,88.000,43.000,0.000
1.396,1567465357.396,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.11,0.21,-0.03,0,100.91,34.9,0,3464.000,26.000,20.392,88.000,43.000,0.000
1.448,1567465357.448,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.11,0.20,-0.03,0,100.91,34.9,0,3464.000,26.000,20.392,88.000,43.000,0.000
1.505,1567465357.505,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.15,0.19,-0.03,0,100.91,34.9,0,3464.000,26.000,20.392,88.000,43.000,0.000
1.557,1567465357.557,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.15,0.16,0.02,0,100.91,34.9,0,3464.000,26.000,20.392,88.000,43.000,0.000
1.607,1567465357.607,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.15,0.15,0.02,0,100.91,34.9,0,3464.000,26.000,20.392,88.000,43.000,0.000
1.668,1567465357.668,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.14,0.15,0.02,0,100.91,34.9,0,3464.000,26.000,20.392,88.000,43.000,0.000
1.721,1567465357.721,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.11,0.25,0.02,0,100.91,34.9,0,3464.000,26.000,20.392,88.000,43.000,0.000
1.774,1567465357.774,0,0,0,0,0.000,45.5711947,-73.9651499,11.0,36,23.8,171.4,6.1,-0.11,0.25,0.02,0,100.91,34.9,0,3464.000,26.000,20.392,88.000,43.000,0.000
1.790,1567465357.790,0,0,0,1,0.000,45.5711367,-73.9651283,12.0,39,24.4,165.8,4.6,-0.09,0.24,0.03,0,100.91,34.9,0,3464.000,26.000,20.392,88.000,43.000,0.000
1.845,1567465357.845,0,0,0,0,0.000,45.5711367,-73.9651283,12.0,39,24.4,165.8,4.6,-0.09,0.15,0.02,0,100.91,34.9,0,3464.000,26.000,20.392,88.000,43.000,0.000
1.901,1567465357.901,0,0,0,0,0.000,45.5711367,-73.9651283,12.0,39,24.4,165.8,4.6,-0.11,0.15,0.00,0,100.91,34.9,0,3464.000,26.000,20.392,88.000,43.000,0.000
1.946,1567465357.946,0,0,0,0,0.000,45.5711367,-73.9651283,12.0,39,24.4,165.8,4.6,-0.14,0.14,-0.04,0,100.91,34.9,1,3535.000,26.000,20.392,88.000,43.000,0.000
1.996,1567465357.996,0,0,0,0,0.000,45.5711367,-73.9651283,12.0,39,24.4,165.8,4.6,-0.15,0.14,-0.04,0,100.91,34.9,0,3535.000,26.000,20.392,88.000,43.000,0.000
2.050,1567465358.050,0,0,0,0,0.000,45.5711367,-73.9651283,12.0,39,24.4,165.8,4.6,-0.15,0.14,-0.03,0,100.91,34.9,0,3535.000,26.000,20.392,88.000,43.000,0.000
# Session End
